,summarized_post
52,"Over 41% of Canadians use cannabis as a substitute for alcohol, 36.1% for illicit substances, and 67.8% for prescription drugs . The three main reasons cited for cannabis-related substitution are 'less withdrawal' (67.7%), 'fewer side-effects' (60.4%), and 'better symptom management'"
53,"Over 41% of Canadians use cannabis as a substitute for alcohol, 36.1% for illicit substances, and 67.8% for prescription drugs . The three main reasons cited for cannabis-related substitution are 'less withdrawal' (67.7%), 'fewer side-effects' (60.4%), and 'better symptom management'"
54,"Over 41% of Canadians use cannabis as a substitute for alcohol, 36.1% for illicit substances, and 67.8% for prescription drugs . The three main reasons cited for cannabis-related substitution are 'less withdrawal' (67.7%), 'fewer side-effects' (60.4%), and 'better symptom management'"
55,"Over 41% of Canadians use cannabis as a substitute for alcohol, 36.1% for illicit substances, and 67.8% for prescription drugs . The three main reasons cited for cannabis-related substitution are 'less withdrawal' (67.7%), 'fewer side-effects' (60.4%), and 'better symptom management'"
56,"Over 41% of Canadians use cannabis as a substitute for alcohol, 36.1% for illicit substances, and 67.8% for prescription drugs . The three main reasons cited for cannabis-related substitution are 'less withdrawal' (67.7%), 'fewer side-effects' (60.4%), and 'better symptom management'"
57,"Nationally, plugging in is a huge waste of energy . To get a gallon of gas worth of electricity out of a wall socket, we need to put at least three gallons into the generator ."
58,"Nationally, plugging in is a huge waste of energy . To get a gallon of gas worth of electricity out of a wall socket, we need to put at least three gallons into the generator ."
59,"Nationally, plugging in is a huge waste of energy . To get a gallon of gas worth of electricity out of a wall socket, we need to put at least three gallons into the generator ."
60,"Why are we paying millions of dollars for TFA and, here in NYC, NYC Teaching Fellows, et al ."
61,"Why are we paying millions of dollars for TFA and, here in NYC, NYC Teaching Fellows, et al ."
62,"Why are we paying millions of dollars for TFA and, here in NYC, NYC Teaching Fellows, et al ."
63,"Why are we paying millions of dollars for TFA and, here in NYC, NYC Teaching Fellows, et al ."
64,"Why are we paying millions of dollars for TFA and, here in NYC, NYC Teaching Fellows, et al ."
65,"Why are we paying millions of dollars for TFA and, here in NYC, NYC Teaching Fellows, et al ."
66,"Why are we paying millions of dollars for TFA and, here in NYC, NYC Teaching Fellows, et al ."
67,"Why are we paying millions of dollars for TFA and, here in NYC, NYC Teaching Fellows, et al ."
68,"Why are we paying millions of dollars for TFA and, here in NYC, NYC Teaching Fellows, et al ."
69,"In our series of letters from African journalists, novelist and writer Adaobi Tricia Nwaubani considers the issue of prostitution ."
70,"In our series of letters from African journalists, novelist and writer Adaobi Tricia Nwaubani considers the issue of prostitution ."
71,"In our series of letters from African journalists, novelist and writer Adaobi Tricia Nwaubani considers the issue of prostitution ."
72,"In our series of letters from African journalists, novelist and writer Adaobi Tricia Nwaubani considers the issue of prostitution ."
73,Eliminate taxes all together to spur economic growth . The money saved will provide a big stimulus to the economy .
74,Eliminate taxes all together to spur economic growth . The money saved will provide a big stimulus to the economy .
75,Eliminate taxes all together to spur economic growth . The money saved will provide a big stimulus to the economy .
76,Eliminate taxes all together to spur economic growth . The money saved will provide a big stimulus to the economy .
77,Eliminate taxes all together to spur economic growth . The money saved will provide a big stimulus to the economy .
78,Declawing cats puts them in danger . Why don't humans have their finger and tonails removed to save on manicures?
79,Declawing cats puts them in danger . Why don't humans have their finger and tonails removed to save on manicures?
80,Declawing cats puts them in danger . Why don't humans have their finger and tonails removed to save on manicures?
81,Declawing cats puts them in danger . Why don't humans have their finger and tonails removed to save on manicures?
82,"The mandate of private corporations is to make a profit . If the profit is made at the EXPENSE of the society that allow the corporation to exist, well, too bad ."
83,"The mandate of private corporations is to make a profit . If the profit is made at the EXPENSE of the society that allow the corporation to exist, well, too bad ."
84,"The mandate of private corporations is to make a profit . If the profit is made at the EXPENSE of the society that allow the corporation to exist, well, too bad ."
85,"The mandate of private corporations is to make a profit . If the profit is made at the EXPENSE of the society that allow the corporation to exist, well, too bad ."
86,"Learning another language is important and a great work out for the brain . But it's 2016 and let's face it, Russian, Ukrainian, Cantonese, Arabic, and Ghetto Yiddish are the way to go ."
87,"Learning another language is important and a great work out for the brain . But it's 2016 and let's face it, Russian, Ukrainian, Cantonese, Arabic, and Ghetto Yiddish are the way to go ."
88,"Learning another language is important and a great work out for the brain . But it's 2016 and let's face it, Russian, Ukrainian, Cantonese, Arabic, and Ghetto Yiddish are the way to go ."
89,"Learning another language is important and a great work out for the brain . But it's 2016 and let's face it, Russian, Ukrainian, Cantonese, Arabic, and Ghetto Yiddish are the way to go ."
90,"Learning another language is important and a great work out for the brain . But it's 2016 and let's face it, Russian, Ukrainian, Cantonese, Arabic, and Ghetto Yiddish are the way to go ."
91,"Learning another language is important and a great work out for the brain . But it's 2016 and let's face it, Russian, Ukrainian, Cantonese, Arabic, and Ghetto Yiddish are the way to go ."
92,"Learning another language is important and a great work out for the brain . But it's 2016 and let's face it, Russian, Ukrainian, Cantonese, Arabic, and Ghetto Yiddish are the way to go ."
93,"Learning another language is important and a great work out for the brain . But it's 2016 and let's face it, Russian, Ukrainian, Cantonese, Arabic, and Ghetto Yiddish are the way to go ."
94,"Learning another language is important and a great work out for the brain . But it's 2016 and let's face it, Russian, Ukrainian, Cantonese, Arabic, and Ghetto Yiddish are the way to go ."
95,"DR Ballantyne- Sydenhams views no longer apply to modern medicine, he says . He says doctors and medicine is still remiss in developing and deploying good treatment for pain ."
96,"DR Ballantyne- Sydenhams views no longer apply to modern medicine, he says . He says doctors and medicine is still remiss in developing and deploying good treatment for pain ."
97,"DR Ballantyne- Sydenhams views no longer apply to modern medicine, he says . He says doctors and medicine is still remiss in developing and deploying good treatment for pain ."
98,"Nicola DeVoll was a library aide in elementary school, for Mrs Archer . She says they were both huge parts of her life as a child, and she's grateful to them . The two librarians have been honored by the American Library Association ."
99,"Nicola DeVoll was a library aide in elementary school, for Mrs Archer . She says they were both huge parts of her life as a child, and she's grateful to them . The two librarians have been honored by the American Library Association ."
100,"Nicola DeVoll was a library aide in elementary school, for Mrs Archer . She says they were both huge parts of her life as a child, and she's grateful to them . The two librarians have been honored by the American Library Association ."
101,"Nicola DeVoll was a library aide in elementary school, for Mrs Archer . She says they were both huge parts of her life as a child, and she's grateful to them . The two librarians have been honored by the American Library Association ."
102,"LZ Granderson: We adults need to stop repeating this idea that it's due to the economy . He says my father, who came from less than nothing, built a home & cared for a sick child with no insurance . LZ: Please, stop blaming this GREAT economy (low unemployment, low interest rates, strong markets, easy access)"
103,"LZ Granderson: We adults need to stop repeating this idea that it's due to the economy . He says my father, who came from less than nothing, built a home & cared for a sick child with no insurance . LZ: Please, stop blaming this GREAT economy (low unemployment, low interest rates, strong markets, easy access)"
104,"LZ Granderson: We adults need to stop repeating this idea that it's due to the economy . He says my father, who came from less than nothing, built a home & cared for a sick child with no insurance . LZ: Please, stop blaming this GREAT economy (low unemployment, low interest rates, strong markets, easy access)"
105,"LZ Granderson: We adults need to stop repeating this idea that it's due to the economy . He says my father, who came from less than nothing, built a home & cared for a sick child with no insurance . LZ: Please, stop blaming this GREAT economy (low unemployment, low interest rates, strong markets, easy access)"
106,"LZ Granderson: We adults need to stop repeating this idea that it's due to the economy . He says my father, who came from less than nothing, built a home & cared for a sick child with no insurance . LZ: Please, stop blaming this GREAT economy (low unemployment, low interest rates, strong markets, easy access)"
107,"LZ Granderson: We adults need to stop repeating this idea that it's due to the economy . He says my father, who came from less than nothing, built a home & cared for a sick child with no insurance . LZ: Please, stop blaming this GREAT economy (low unemployment, low interest rates, strong markets, easy access)"
108,"LZ Granderson: We adults need to stop repeating this idea that it's due to the economy . He says my father, who came from less than nothing, built a home & cared for a sick child with no insurance . LZ: Please, stop blaming this GREAT economy (low unemployment, low interest rates, strong markets, easy access)"
109,"LZ Granderson: We adults need to stop repeating this idea that it's due to the economy . He says my father, who came from less than nothing, built a home & cared for a sick child with no insurance . LZ: Please, stop blaming this GREAT economy (low unemployment, low interest rates, strong markets, easy access)"
110,"Marijuana is not addictive, and it has never killed anyone by overdose. Opiates kill about 16-20 K people a year. Deaths from over the counter NSAIDS like aspirin are about as high."
111,"Marijuana is not addictive, and it has never killed anyone by overdose. Opiates kill about 16-20 K people a year. Deaths from over the counter NSAIDS like aspirin are about as high."
112,"Marijuana is not addictive, and it has never killed anyone by overdose. Opiates kill about 16-20 K people a year. Deaths from over the counter NSAIDS like aspirin are about as high."
113,"Marijuana is not addictive, and it has never killed anyone by overdose. Opiates kill about 16-20 K people a year. Deaths from over the counter NSAIDS like aspirin are about as high."
114,"Marijuana is not addictive, and it has never killed anyone by overdose. Opiates kill about 16-20 K people a year. Deaths from over the counter NSAIDS like aspirin are about as high."
115,"Marijuana is not addictive, and it has never killed anyone by overdose. Opiates kill about 16-20 K people a year. Deaths from over the counter NSAIDS like aspirin are about as high."
116,"Marijuana is not addictive, and it has never killed anyone by overdose. Opiates kill about 16-20 K people a year. Deaths from over the counter NSAIDS like aspirin are about as high."
117,"Marijuana is not addictive, and it has never killed anyone by overdose. Opiates kill about 16-20 K people a year. Deaths from over the counter NSAIDS like aspirin are about as high."
118,"Marijuana is not addictive, and it has never killed anyone by overdose. Opiates kill about 16-20 K people a year. Deaths from over the counter NSAIDS like aspirin are about as high."
119,"Marijuana is not addictive, and it has never killed anyone by overdose. Opiates kill about 16-20 K people a year. Deaths from over the counter NSAIDS like aspirin are about as high."
120,"Without government to ensure their behavior, companies will attempt to make a profit even to the detriment of the society that supports them ."
121,"Without government to ensure their behavior, companies will attempt to make a profit even to the detriment of the society that supports them ."
122,"Without government to ensure their behavior, companies will attempt to make a profit even to the detriment of the society that supports them ."
123,"Parents should not be given a shopping list or a line item veto for everything their tax dollars are involved in . ""If individuals are so fearful and filled with anxiety & distrust of modern society, isnt that a private matter for the family and perhaps a mental health professional to deal with?"
124,"Parents should not be given a shopping list or a line item veto for everything their tax dollars are involved in . ""If individuals are so fearful and filled with anxiety & distrust of modern society, isnt that a private matter for the family and perhaps a mental health professional to deal with?"
125,"Parents should not be given a shopping list or a line item veto for everything their tax dollars are involved in . ""If individuals are so fearful and filled with anxiety & distrust of modern society, isnt that a private matter for the family and perhaps a mental health professional to deal with?"
126,"Parents should not be given a shopping list or a line item veto for everything their tax dollars are involved in . ""If individuals are so fearful and filled with anxiety & distrust of modern society, isnt that a private matter for the family and perhaps a mental health professional to deal with?"
127,"Parents should not be given a shopping list or a line item veto for everything their tax dollars are involved in . ""If individuals are so fearful and filled with anxiety & distrust of modern society, isnt that a private matter for the family and perhaps a mental health professional to deal with?"
128,"Parents should not be given a shopping list or a line item veto for everything their tax dollars are involved in . ""If individuals are so fearful and filled with anxiety & distrust of modern society, isnt that a private matter for the family and perhaps a mental health professional to deal with?"
129,"The ""you have a short live, so enjoy"" attitude alone did not lead to the Renaissance, the age of Enlightment, or the Industrial Revolution . ""Enjoying"" life alone means you are enjoying the fruit of someone else's work ."
130,"The ""you have a short live, so enjoy"" attitude alone did not lead to the Renaissance, the age of Enlightment, or the Industrial Revolution . ""Enjoying"" life alone means you are enjoying the fruit of someone else's work ."
131,"The ""you have a short live, so enjoy"" attitude alone did not lead to the Renaissance, the age of Enlightment, or the Industrial Revolution . ""Enjoying"" life alone means you are enjoying the fruit of someone else's work ."
132,"The ""you have a short live, so enjoy"" attitude alone did not lead to the Renaissance, the age of Enlightment, or the Industrial Revolution . ""Enjoying"" life alone means you are enjoying the fruit of someone else's work ."
133,"The ""you have a short live, so enjoy"" attitude alone did not lead to the Renaissance, the age of Enlightment, or the Industrial Revolution . ""Enjoying"" life alone means you are enjoying the fruit of someone else's work ."
134,"The ""you have a short live, so enjoy"" attitude alone did not lead to the Renaissance, the age of Enlightment, or the Industrial Revolution . ""Enjoying"" life alone means you are enjoying the fruit of someone else's work ."
135,"The ""you have a short live, so enjoy"" attitude alone did not lead to the Renaissance, the age of Enlightment, or the Industrial Revolution . ""Enjoying"" life alone means you are enjoying the fruit of someone else's work ."
136,"The ""you have a short live, so enjoy"" attitude alone did not lead to the Renaissance, the age of Enlightment, or the Industrial Revolution . ""Enjoying"" life alone means you are enjoying the fruit of someone else's work ."
137,The idea that it might be considered wrong to look up information speaks volume about the arrogance of doctors .
138,The idea that it might be considered wrong to look up information speaks volume about the arrogance of doctors .
139,The idea that it might be considered wrong to look up information speaks volume about the arrogance of doctors .
140,The idea that it might be considered wrong to look up information speaks volume about the arrogance of doctors .
141,"Dean Allard: If a law school graduate doesn't have the discipline and intelligence to pass the bar, why should they be an attorney?"
142,"Dean Allard: If a law school graduate doesn't have the discipline and intelligence to pass the bar, why should they be an attorney?"
143,"Dean Allard: If a law school graduate doesn't have the discipline and intelligence to pass the bar, why should they be an attorney?"
144,"Dean Allard: If a law school graduate doesn't have the discipline and intelligence to pass the bar, why should they be an attorney?"
145,"Dean Allard: If a law school graduate doesn't have the discipline and intelligence to pass the bar, why should they be an attorney?"
146,"Dean Allard: If a law school graduate doesn't have the discipline and intelligence to pass the bar, why should they be an attorney?"
147,A handful of homeowners have turned the banks of the Boise River into their private back yard . Those who privatize access to our shore lines are the first in line for public assistance when floods and hurricanes damage their private refuge .
148,A handful of homeowners have turned the banks of the Boise River into their private back yard . Those who privatize access to our shore lines are the first in line for public assistance when floods and hurricanes damage their private refuge .
149,A handful of homeowners have turned the banks of the Boise River into their private back yard . Those who privatize access to our shore lines are the first in line for public assistance when floods and hurricanes damage their private refuge .
150,A handful of homeowners have turned the banks of the Boise River into their private back yard . Those who privatize access to our shore lines are the first in line for public assistance when floods and hurricanes damage their private refuge .
151,A handful of homeowners have turned the banks of the Boise River into their private back yard . Those who privatize access to our shore lines are the first in line for public assistance when floods and hurricanes damage their private refuge .
152,A handful of homeowners have turned the banks of the Boise River into their private back yard . Those who privatize access to our shore lines are the first in line for public assistance when floods and hurricanes damage their private refuge .
153,A handful of homeowners have turned the banks of the Boise River into their private back yard . Those who privatize access to our shore lines are the first in line for public assistance when floods and hurricanes damage their private refuge .
154,A handful of homeowners have turned the banks of the Boise River into their private back yard . Those who privatize access to our shore lines are the first in line for public assistance when floods and hurricanes damage their private refuge .
155,A handful of homeowners have turned the banks of the Boise River into their private back yard . Those who privatize access to our shore lines are the first in line for public assistance when floods and hurricanes damage their private refuge .
156,"Taxes on bank interest and capital gains are double taxed, he says . Passive income is the most lethal of all to our social structure . Capitalism is an amazing, but flawed human invention ."
157,"Taxes on bank interest and capital gains are double taxed, he says . Passive income is the most lethal of all to our social structure . Capitalism is an amazing, but flawed human invention ."
158,"Taxes on bank interest and capital gains are double taxed, he says . Passive income is the most lethal of all to our social structure . Capitalism is an amazing, but flawed human invention ."
159,"Cats can be declawed if they're rescued from a shelter or no-kill shelter . The vet sends the cats home the day following surgery with a pain patch on . It's okay to care about your cats and the way their furniture looks, too ."
160,"Cats can be declawed if they're rescued from a shelter or no-kill shelter . The vet sends the cats home the day following surgery with a pain patch on . It's okay to care about your cats and the way their furniture looks, too ."
161,"Cats can be declawed if they're rescued from a shelter or no-kill shelter . The vet sends the cats home the day following surgery with a pain patch on . It's okay to care about your cats and the way their furniture looks, too ."
162,"Cats can be declawed if they're rescued from a shelter or no-kill shelter . The vet sends the cats home the day following surgery with a pain patch on . It's okay to care about your cats and the way their furniture looks, too ."
163,"The Catholic Church in America has a long history of extremism, says John Sutter . Sutter: Catholics in America practice a craziness that isn't far behind the extremist Muslims . He says Catholics who gleefully go along with this stuff, let's not judge too harshly the extreme Muslim extremists ."
164,"The Catholic Church in America has a long history of extremism, says John Sutter . Sutter: Catholics in America practice a craziness that isn't far behind the extremist Muslims . He says Catholics who gleefully go along with this stuff, let's not judge too harshly the extreme Muslim extremists ."
165,"The Catholic Church in America has a long history of extremism, says John Sutter . Sutter: Catholics in America practice a craziness that isn't far behind the extremist Muslims . He says Catholics who gleefully go along with this stuff, let's not judge too harshly the extreme Muslim extremists ."
166,"The Catholic Church in America has a long history of extremism, says John Sutter . Sutter: Catholics in America practice a craziness that isn't far behind the extremist Muslims . He says Catholics who gleefully go along with this stuff, let's not judge too harshly the extreme Muslim extremists ."
167,"The Catholic Church in America has a long history of extremism, says John Sutter . Sutter: Catholics in America practice a craziness that isn't far behind the extremist Muslims . He says Catholics who gleefully go along with this stuff, let's not judge too harshly the extreme Muslim extremists ."
168,"The Catholic Church in America has a long history of extremism, says John Sutter . Sutter: Catholics in America practice a craziness that isn't far behind the extremist Muslims . He says Catholics who gleefully go along with this stuff, let's not judge too harshly the extreme Muslim extremists ."
169,"David Frum: It's hard to see how any rational, objective person could support Palestinian statehood . He says the Palestinian Authority needs to recognize Israel's right to exist as a Jewish state . Hamas (if it's a participant) needs to disavow its commitment to the destruction of Israel and the Jews ."
170,"David Frum: It's hard to see how any rational, objective person could support Palestinian statehood . He says the Palestinian Authority needs to recognize Israel's right to exist as a Jewish state . Hamas (if it's a participant) needs to disavow its commitment to the destruction of Israel and the Jews ."
171,"David Frum: It's hard to see how any rational, objective person could support Palestinian statehood . He says the Palestinian Authority needs to recognize Israel's right to exist as a Jewish state . Hamas (if it's a participant) needs to disavow its commitment to the destruction of Israel and the Jews ."
172,"David Frum: It's hard to see how any rational, objective person could support Palestinian statehood . He says the Palestinian Authority needs to recognize Israel's right to exist as a Jewish state . Hamas (if it's a participant) needs to disavow its commitment to the destruction of Israel and the Jews ."
173,"David Frum: It's hard to see how any rational, objective person could support Palestinian statehood . He says the Palestinian Authority needs to recognize Israel's right to exist as a Jewish state . Hamas (if it's a participant) needs to disavow its commitment to the destruction of Israel and the Jews ."
174,"David Frum: It's hard to see how any rational, objective person could support Palestinian statehood . He says the Palestinian Authority needs to recognize Israel's right to exist as a Jewish state . Hamas (if it's a participant) needs to disavow its commitment to the destruction of Israel and the Jews ."
175,"Only legal workers should be employed, not Mexicans ."
176,"Only legal workers should be employed, not Mexicans ."
177,"Only legal workers should be employed, not Mexicans ."
178,"Only legal workers should be employed, not Mexicans ."
179,"Only legal workers should be employed, not Mexicans ."
180,"Only legal workers should be employed, not Mexicans ."
181,"Only legal workers should be employed, not Mexicans ."
182,"Only legal workers should be employed, not Mexicans ."
183,Karina Gallardo: The use of imported farm laborers should only be considered a temporary solution . A significant amount of money must be allocated to the development of robots to do the picking .
184,Karina Gallardo: The use of imported farm laborers should only be considered a temporary solution . A significant amount of money must be allocated to the development of robots to do the picking .
185,Karina Gallardo: The use of imported farm laborers should only be considered a temporary solution . A significant amount of money must be allocated to the development of robots to do the picking .
186,Karina Gallardo: The use of imported farm laborers should only be considered a temporary solution . A significant amount of money must be allocated to the development of robots to do the picking .
187,Karina Gallardo: The use of imported farm laborers should only be considered a temporary solution . A significant amount of money must be allocated to the development of robots to do the picking .
188,Karina Gallardo: The use of imported farm laborers should only be considered a temporary solution . A significant amount of money must be allocated to the development of robots to do the picking .
189,Karina Gallardo: The use of imported farm laborers should only be considered a temporary solution . A significant amount of money must be allocated to the development of robots to do the picking .
190,Karina Gallardo: The use of imported farm laborers should only be considered a temporary solution . A significant amount of money must be allocated to the development of robots to do the picking .
191,A woman with a PhD in a physical science received her undergraduate degree at a women's college . She says women who went to co-ed institutions told stories of harassment in the classroom and labs . Men were given forms for grants and scholarships while women were told they were a lost cause .
192,A woman with a PhD in a physical science received her undergraduate degree at a women's college . She says women who went to co-ed institutions told stories of harassment in the classroom and labs . Men were given forms for grants and scholarships while women were told they were a lost cause .
193,A woman with a PhD in a physical science received her undergraduate degree at a women's college . She says women who went to co-ed institutions told stories of harassment in the classroom and labs . Men were given forms for grants and scholarships while women were told they were a lost cause .
194,"Bob Greene: It's entirely possible that any vegan athlete who reaches elite levels is a fluke . He says it's possible to go up a hill by walking on your hands, but this isn't the best or most efficient way to do it . Despite these examples, he says, for every vegan elite athlete Rip names, I can name a couple hundred omnivorous ones ."
195,"Bob Greene: It's entirely possible that any vegan athlete who reaches elite levels is a fluke . He says it's possible to go up a hill by walking on your hands, but this isn't the best or most efficient way to do it . Despite these examples, he says, for every vegan elite athlete Rip names, I can name a couple hundred omnivorous ones ."
196,"Bob Greene: It's entirely possible that any vegan athlete who reaches elite levels is a fluke . He says it's possible to go up a hill by walking on your hands, but this isn't the best or most efficient way to do it . Despite these examples, he says, for every vegan elite athlete Rip names, I can name a couple hundred omnivorous ones ."
197,"Bob Greene: It's entirely possible that any vegan athlete who reaches elite levels is a fluke . He says it's possible to go up a hill by walking on your hands, but this isn't the best or most efficient way to do it . Despite these examples, he says, for every vegan elite athlete Rip names, I can name a couple hundred omnivorous ones ."
198,"Bob Greene: It's entirely possible that any vegan athlete who reaches elite levels is a fluke . He says it's possible to go up a hill by walking on your hands, but this isn't the best or most efficient way to do it . Despite these examples, he says, for every vegan elite athlete Rip names, I can name a couple hundred omnivorous ones ."
199,"Bob Greene: It's entirely possible that any vegan athlete who reaches elite levels is a fluke . He says it's possible to go up a hill by walking on your hands, but this isn't the best or most efficient way to do it . Despite these examples, he says, for every vegan elite athlete Rip names, I can name a couple hundred omnivorous ones ."
200,"Bob Greene: It's entirely possible that any vegan athlete who reaches elite levels is a fluke . He says it's possible to go up a hill by walking on your hands, but this isn't the best or most efficient way to do it . Despite these examples, he says, for every vegan elite athlete Rip names, I can name a couple hundred omnivorous ones ."
201,"Bob Greene: It's entirely possible that any vegan athlete who reaches elite levels is a fluke . He says it's possible to go up a hill by walking on your hands, but this isn't the best or most efficient way to do it . Despite these examples, he says, for every vegan elite athlete Rip names, I can name a couple hundred omnivorous ones ."
202,"Bob Greene: It's entirely possible that any vegan athlete who reaches elite levels is a fluke . He says it's possible to go up a hill by walking on your hands, but this isn't the best or most efficient way to do it . Despite these examples, he says, for every vegan elite athlete Rip names, I can name a couple hundred omnivorous ones ."
203,"Bob Greene: It's entirely possible that any vegan athlete who reaches elite levels is a fluke . He says it's possible to go up a hill by walking on your hands, but this isn't the best or most efficient way to do it . Despite these examples, he says, for every vegan elite athlete Rip names, I can name a couple hundred omnivorous ones ."
204,"There is no more usable soil, we are farming everything that can be farmed . Current methods depend on petrochemical fertilizers ."
205,"There is no more usable soil, we are farming everything that can be farmed . Current methods depend on petrochemical fertilizers ."
206,"There is no more usable soil, we are farming everything that can be farmed . Current methods depend on petrochemical fertilizers ."
207,"There is no more usable soil, we are farming everything that can be farmed . Current methods depend on petrochemical fertilizers ."
208,"There is no more usable soil, we are farming everything that can be farmed . Current methods depend on petrochemical fertilizers ."
209,"There is no more usable soil, we are farming everything that can be farmed . Current methods depend on petrochemical fertilizers ."
210,Both countries have Interests Sections in Washington and Havana . There is no reason whatsoever that programs cannot be initiated right now even with the embargo .
211,Both countries have Interests Sections in Washington and Havana . There is no reason whatsoever that programs cannot be initiated right now even with the embargo .
212,Both countries have Interests Sections in Washington and Havana . There is no reason whatsoever that programs cannot be initiated right now even with the embargo .
213,Both countries have Interests Sections in Washington and Havana . There is no reason whatsoever that programs cannot be initiated right now even with the embargo .
214,Both countries have Interests Sections in Washington and Havana . There is no reason whatsoever that programs cannot be initiated right now even with the embargo .
215,Both countries have Interests Sections in Washington and Havana . There is no reason whatsoever that programs cannot be initiated right now even with the embargo .
